"accession","anon.name","GroupAt1_Ngrps298","GroupAt1.5_Ngrps209","GroupAt2_Ngrps165","GroupAt2.5_Ngrps132","GroupAt3_Ngrps104","GroupAt3.5_Ngrps74","GroupAt4_Ngrps60","GroupAt5_Ngrps49","GroupAt6_Ngrps42","GroupAt7_Ngrps37","GroupAt8_Ngrps29","GroupAt9_Ngrps16","GroupAt10_Ngrps16"
"BRA-69","BR30A10","G200","G145","G115","G086","G075","G046","G032","G027","G023","G022","G022","G014","G014"
"G1-A-X-2","BR31A05","G011","G008","G006","G006","G005","G005","G005","G005","G005","G005","G005","G005","G005"
"G2-A-1","BR31A07","G068","G051","G038","G030","G025","G010","G010","G007","G007","G007","G007","G007","G007"
"G1-A-X-1","BR31A09","G072","G055","G039","G031","G026","G010","G010","G007","G007","G007","G007","G007","G007"
"50Spa-Nor-S6D-c4","BR31B10","G266","G193","G150","G117","G095","G065","G051","G040","G033","G028","G028","G015","G015"
"ABR6","BR31E11","G002","G001","G001","G001","G001","G001","G001","G001","G001","G001","G001","G001","G001"
"60Spa-NOrS12B-c2","BR32B02","G229","G165","G129","G097","G083","G054","G040","G034","G029","G025","G025","G014","G014"
"18Geo32i2-C4","BR32B04","G161","G119","G094","G066","G059","G034","G021","G016","G014","G013","G013","G011","G011"
"G1-F-1","BR32C08","G058","G046","G034","G030","G025","G010","G010","G007","G007","G007","G007","G007","G007"
"BD-D-2","BR32D04","G012","G009","G007","G007","G005","G005","G005","G005","G005","G005","G005","G005","G005"
"L1A-C-2","BR32D07","G091","G069","G053","G038","G032","G015","G015","G010","G010","G010","G010","G008","G008"
"G2-A-1","BR32D08","G062","G048","G035","G030","G025","G010","G010","G007","G007","G007","G007","G007","G007"
"ABR7","BR32D09","G165","G121","G096","G068","G061","G036","G023","G018","G016","G015","G015","G013","G013"
"Bd19-16","BR32F04","G009","G006","G004","G004","G003","G003","G003","G003","G003","G003","G003","G003","G003"
"B.sylvaticum_B","BR32F09","G004","G003","G003","G003","G003","G003","G003","G003","G003","G003","G003","G003","G003"
